Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_rostralmiddlefrontal,-0.04,1911,7663,9574,lh,0.1904458556017539,1.017973292339187,0.0038927347344131238,0.0842480691179851,0.0827605888602368,584,-0.04
L_superiorfrontal,-0.07,1911,7663,9574,lh,0.132671725682411,1.0087625026712428,0.0027118250129759963,0.0834857787411982,0.0827605888602368,584,-0.07
L_superiorparietal,-0.01,1911,7663,9574,lh,0.1101292843519363,1.0060459528629244,0.0022510549736998,0.0832609554793936,0.0827605888602368,584,-0.01
L_superiortemporal,0.01,1911,7663,9574,lh,0.1260174974969587,1.0079089292567045,0.002575811839539512,0.0834151365027756,0.0827605888602368,584,0.01
L_supramarginal,-0.05,1911,7663,9574,lh,0.1406715982860254,1.009845779594263,0.0028753433098513575,0.0835754313772461,0.0827605888602368,584,-0.05
L_frontalpole,-0.01,1911,7663,9574,lh,0.3407844666065796,1.0564724571328543,0.0069656728728291865,0.0874342826669363,0.0827605888602368,584,-0.01
L_temporalpole,0.01,1911,7663,9574,lh,0.3656352824157033,1.0647484020871838,0.007473626346392661,0.0881192047447315,0.0827605888602368,584,0.01
L_transversetemporal,-0.04,1911,7663,9574,lh,0.1956680130206627,1.018963184476973,0.003999476220117432,0.0843299931742164,0.0827605888602368,584,-0.04
L_insula,-0.11,1911,7663,9574,lh,0.2981904866965747,1.0435121304308543,0.0060950471270041166,0.0863616783972577,0.0827605888602368,584,-0.11
R_bankssts,-0.07,1911,7663,9574,rh,0.1534593994993605,1.0117063740506451,0.0031367274066731593,0.0837294152700864,0.0827605888602368,584,-0.07
R_caudalanteriorcingulate,-0.08,1911,7663,9574,rh,0.2345456463717201,1.0271376053051158,0.0047941394237836265,0.0850065130555448,0.0827605888602368,584,-0.08
R_caudalmiddlefrontal,0.01,1911,7663,9574,rh,0.1700381669057965,1.014353477937885,0.0034755992793787755,0.0839484911465685,0.0827605888602368,584,0.01
R_cuneus,0.05,1911,7663,9574,rh,0.2110250670946185,1.0220232771039457,0.0043133761347312624,0.0845832482419915,0.0827605888602368,584,0.05
R_entorhinal,-0.06,1911,7663,9574,rh,0.3352087278490374,1.054687105840481,0.006851704144746778,0.0872865259426571,0.0827605888602368,584,-0.06
R_fusiform,-0.12,1911,7663,9574,rh,0.2034578796835348,1.0204876818488893,0.004158701971915466,0.084456161474432,0.0827605888602368,584,-0.12
R_inferiorparietal,-0.04,1911,7663,9574,rh,0.1402146441904612,1.0097822272378625,0.0028660031166808913,0.0835701717468069,0.0827605888602368,584,-0.04
R_inferiortemporal,-0.12,1911,7663,9574,rh,0.1804525516817452,1.0161511321690553,0.0036884704769523987,0.0840972660693073,0.0827605888602368,584,-0.12
